ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak,RSRP,RSRQ,Label
-106,8,124,119,501500,478160,240203,19107,29053.5118440508,232489.99984216836,40,70,156,2692,478,-108,-12,1
-109,12,165,162,533304,496720,490016,36183,54314.238224866305,466300.35802912357,40,80,246,1794,491,-96,-12,0
-111,11,168,156,293820,626597,75462,4794,9062.235400880527,72618.1829309782,5,15,236,1518,502,-94,-11,0
-117,6,95,91,159160,516760,245881,12817,32685.595721699137,223273.100709263,70,90,190,438,477,-108,-12,1
-123,10,167,151,164440,174600,391316,36131,44403.11034203088,365792.8469272249,40,80,238,3065,483,-96,-12,0
-124,10,152,150,649528,531060,349752,27989,54690.73243444559,395589.0949091088,100,90,240,1719,475,-96,-12,0
-130,8,114,110,180860,645142,22709,1689,2498.153878572691,19787.044517106762,50,5,172,1815,445,-110,-13,1
-123,8,115,113,289280,174600,56694,3673,7173.667280284181,50187.2053821597,90,15,137,2426,424,-112,-14,1
-113,11,164,159,348200,374360,302297,27439,32367.940285830107,296035.73925126577,70,70,245,3156,503,-94,-11,0
-111,7,107,106,534162,285660,92215,8230,12920.800129446043,97051.88928028778,20,30,245,3460,499,-95,-11,0
-118,8,116,111,348200,127120,203781,10368,27114.21036201469,227693.2715987421,50,60,126,2078,413,-113,-15,1
-123,9,126,122,293820,471980,219607,10991,25142.342966405293,222962.2161921015,100,50,251,1973,495,-94,-11,0
-117,6,82,76,642337,295540,53729,2923,8108.462723605394,62697.46194363865,60,25,155,2648,444,-111,-14,1
-121,6,93,91,164440,531060,262263,19622,27300.683113105573,238039.32140080223,5,90,153,1321,435,-113,-14,1
-125,7,104,102,285640,155460,43114,2168,5560.170514446253,42131.118309979836,25,15,146,2752,395,-114,-16,1
-125,11,164,160,387580,531060,81492,7910,10836.309187415813,91484.89509874648,25,20,192,2086,468,-110,-13,1
-122,12,168,152,180860,152340,142034,12161,18803.383461984147,137033.0784289352,5,25,257,907,520,-95,-11,0
-120,12,190,174,637874,432200,132406,6665,16906.426413593632,129339.54040122704,60,25,227,2827,482,-97,-12,0

-117,9,135,135,380520,401760,366841,36273,61327.34414779402,398528.7117174407,60,90,218,2320,485,-97,-12,0
-100,12,181,120,522560,626597,551010,41548,35952.95108949776,526895.3959358163,30,100,228,3011,502,-95,-11,4
-121,9,129,121,285640,703805,319339,27042,43257.72181513923,349677.1803978438,50,80,249,1686,491,-95,-11,0
-94,13,193,36,165800,174600,407814,22316,27679.55566539894,383734.3903950837,50,70,236,3411,482,-96,-12,4
-98,10,161,39,642337,703805,379282,36857,34423.57649378119,423361.93382231315,10,90,273,1972,510,-96,-11,4
-103,11,158,77,403440,478160,279977,17047,18642.61382709224,259066.22016980365,70,50,251,2345,496,-94,-11,4
