ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak,RSRP,RSRQ,Label
-130,10,148,148,182820,645398,128432,7358,15116.220256046041,122419.36114699295,50,30,216,1184,506,-94,-11,0
-125,12,181,179,289280,174640,82713,5499,11571.236077702823,77518.08225238204,15,15,238,1809,491,-96,-11,0
-115,9,134,121,632723,470820,121676,10498,17562.253900982258,121552.36554381526,5,30,240,2407,512,-94,-11,0
-107,14,217,201,497920,396900,507633,41981,60766.76011695709,534941.7405461931,60,90,259,2659,509,-96,-11,0
-109,13,184,183,516786,382700,59428,4215,7762.959618539046,60257.914535238735,20,10,240,2362,507,-95,-11,0
-113,9,140,134,404980,537740,100977,9744,10420.58584908982,82593.10328715916,70,20,234,2529,509,-96,-11,0
-118,12,199,196,513020,401920,593894,50884,70168.36635309616,576082.5184373074,40,100,236,2752,494,-96,-12,0
-124,12,172,159,172240,645398,226874,16621,32260.698163880337,270170.1660645111,100,50,234,2096,496,-96,-11,0
-123,12,181,171,355720,163420,51222,3708,5066.919058858151,50059.79838275646,80,10,243,452,493,-96,-12,0
-112,8,113,111,133560,382700,235647,12903,44083.27051330995,257363.26556904818,25,70,223,2651,517,-94,-11,0
-108,10,150,141,497920,433340,292855,24923,41271.70691678073,319259.655066267,25,70,235,2110,478,-96,-12,0
-108,12,184,169,371100,382700,148284,13307,20193.158336922756,142126.6449926845,50,25,239,1433,492,-96,-12,0
-107,10,155,154,513020,185640,160048,15726,15918.698242768023,121229.68814632374,70,25,237,1670,492,-95,-12,0
-121,9,130,127,163600,147220,146617,13057,17761.64933131016,126815.45864263964,70,30,221,730,492,-96,-12,0
-128,12,188,178,706490,716858,214297,11222,28897.781765855572,197011.54275910277,25,40,241,2219,492,-96,-12,0
-114,11,160,151,163600,394480,132929,8084,18203.522030287462,140053.57375359323,30,30,236,1683,477,-98,-12,0
-111,11,169,154,393260,404980,24511,2111,2699.4617077253383,27383.08715211788,70,5,226,2106,495,-96,-11,0
-117,8,120,114,176520,625778,400893,37373,42818.36500363837,376837.0423291455,60,100,235,1843,492,-96,-12,0

-105,9,144,134,378480,530380,62352,4907,7875.539321382512,61675.688656328195,25,15,262,1792,498,-95,-11,0
-98,11,175,175,301040,530380,377484,19287,46220.34844425956,399990.18052067555,60,80,317,1321,526,-83,-10,3
-98,13,204,200,163600,528996,426649,30616,48611.90293683798,398587.4712795962,90,70,333,184,527,-83,-10,3
